iter	Passed	Remaining
414	3406	4802
415	3414	4793
416	3422	4784
417	3430	4776
418	3438	4768
419	3446	4759
420	3454	4750
421	3462	4742
422	3470	4734
423	3479	4726
424	3486	4717
425	3494	4708
426	3502	4700
427	3510	4692
428	3519	4684
429	3527	4676
430	3536	4668
431	3544	4660
432	3554	4654
433	3565	4650
434	3574	4642
435	3585	4638
436	3594	4630
437	3603	4624
438	3612	4617
439	3621	4609
440	3629	4601
441	3638	4592
442	3645	4584
443	3653	4575
444	3661	4566
445	3669	4558
446	3678	4550
447	3686	4541
448	3693	4532
449	3702	4524
450	3710	4516
451	3718	4508
452	3726	4499
453	3733	4490
454	3741	4482
455	3749	4473
456	3757	4464
457	3766	4456
458	3774	4449
459	3782	4440
460	3791	4432
461	3799	4424
462	3808	4416
463	3815	4408
464	3824	4400
465	3832	4392
466	3841	4384
467	3849	4375
468	3858	4368
469	3866	4360
470	3875	4352
471	3884	4345
472	3893	4337
473	3901	4329
474	3910	4321
475	3919	4315
476	3928	4307
477	3937	4300
478	3946	4292
479	3954	4283
480	3962	4275
481	3970	4267
482	3979	4259
483	3987	4251
484	3995	4242
485	4003	4234
486	4012	4226
487	4020	4217
488	4027	4208
489	4035	4200
490	4043	4191
491	4051	4183
492	4059	4175
493	4067	4166
494	4075	4158
495	4083	4149
496	4091	4141
497	4099	4132
498	4107	4124
499	4116	4116
500	4124	4107
501	4132	4099
502	4140	4091
503	4148	4082
504	4157	4074
505	4165	4066
506	4174	4059
507	4182	4050
508	4191	4043
509	4200	4035
510	4209	4027
511	4218	4020
512	4226	4012
513	4235	4004
514	4243	3996
515	4251	3988
516	4259	3979
517	4267	3971
518	4276	3963
519	4284	3954
520	4292	3946
521	4300	3937
522	4308	3929
523	4316	3921
524	4324	3912
525	4332	3904
526	4340	3895
527	4348	3887
528	4356	3878
529	4364	3870
530	4372	3861
531	4380	3853
532	4388	3845
533	4396	3836
534	4404	3828
535	4412	3819
536	4419	3810
537	4428	3802
538	4436	3794
539	4444	3785
540	4452	3777
541	4461	3769
542	4469	3761
543	4478	3754
544	4487	3746
545	4496	3738
546	4504	3730
547	4513	3723
548	4522	3715
549	4530	3706
550	4538	3698
551	4546	3689
552	4554	3681
553	4562	3673
554	4570	3664
555	4578	3656
556	4586	3647
557	4594	3639
558	4602	3631
559	4610	3622
560	4617	3613
561	4625	3605
562	4634	3597
563	4643	3589
564	4651	3581
565	4660	3573
566	4669	3565
567	4677	3557
568	4685	3549
569	4694	3541
570	4703	3533
571	4711	3525
572	4720	3517
573	4728	3509
574	4736	3501
575	4745	3493
576	4753	3484
577	4762	3476
578	4770	3469
579	4779	3461
580	4788	3453
581	4796	3445
582	4805	3437
583	4814	3429
584	4824	3422
585	4833	3414
586	4841	3406
587	4849	3398
588	4858	3390
589	4866	3381
590	4874	3373
591	4882	3365
592	4890	3356
593	4898	3348
594	4906	3339
595	4915	3331
596	4923	3323
597	4931	3315
598	4939	3306
599	4946	3297
600	4954	3289
601	4962	3280
602	4969	3271
603	4977	3263
604	4985	3255
605	4993	3246
606	5001	3238
607	5009	3229
608	5017	3221
609	5024	3212
610	5033	3204
611	5041	3196
612	5049	3188
613	5057	3179
614	5066	3171
615	5073	3162
616	5082	3154
617	5090	3146
618	5098	3138
619	5107	3130
620	5116	3122
621	5124	3114
622	5133	3106
623	5142	3098
624	5152	3091
625	5161	3083
626	5170	3075
627	5179	3067
628	5186	3059
629	5195	3051
630	5203	3042
631	5211	3034
632	5218	3025
633	5226	3017
634	5234	3008
635	5242	3000
636	5250	2991
637	5258	2983
638	5266	2975
639	5273	2966
640	5281	2958
641	5290	2950
642	5299	2942
643	5306	2933
644	5314	2925
645	5322	2916
646	5330	2908
647	5338	2899
648	5346	2891
649	5354	2883
650	5362	2874
651	5370	2866
652	5378	2858
653	5386	2849
654	5394	2841
655	5403	2833
656	5412	2825
657	5420	2817
658	5429	2809
659	5439	2801
660	5447	2793
661	5456	2785
662	5465	2777
663	5473	2769
664	5481	2761
665	5489	2752
666	5498	2744
667	5506	2736
668	5514	2728
669	5522	2719
670	5531	2711
