iter	Logloss
0	0.6624237524
1	0.633081983
2	0.5938924508
3	0.5728520134
4	0.552886792
5	0.5329993025
6	0.5160120867
7	0.5010038028
8	0.4867085341
9	0.4740212045
10	0.4641244152
11	0.4471563516
12	0.4377927202
13	0.4298525161
14	0.417292013
15	0.4102088613
16	0.3999255495
17	0.3906586071
18	0.3817003008
19	0.3738814111
20	0.3652813554
21	0.3609533311
22	0.3553919358
23	0.3508255311
24	0.3452359649
25	0.3408466005
26	0.3336591118
27	0.330533662
28	0.3258841687
29	0.3218322237
30	0.3186836221
31	0.3159065376
32	0.3133937805
33	0.3110598462
34	0.305745681
35	0.303427118
36	0.3010542039
37	0.2993311592
38	0.2962260746
39	0.2931184575
40	0.290719143
41	0.2891159187
42	0.2870423986
43	0.2851671184
44	0.283129394
45	0.2817180971
46	0.2776361104
47	0.275882683
48	0.2745919089
49	0.2731084908
50	0.2711962287
51	0.2702039229
52	0.2689568038
53	0.2675835304
54	0.2667753311
55	0.2658922406
56	0.2644164213
57	0.2628934544
58	0.2615222588
59	0.2596651584
60	0.2551594074
61	0.2543409633
62	0.2532459288
63	0.2503888092
64	0.2495599763
65	0.247845114
66	0.2469235794
67	0.2459743527
68	0.2454554356
69	0.244000982
70	0.2435229893
71	0.242809368
72	0.2415981408
73	0.2401121344
74	0.2388110864
75	0.2383094896
76	0.2375155555
77	0.2368798123
78	0.2336498358
79	0.2330691563
80	0.2321923378
81	0.2316303634
82	0.2309595615
83	0.2305578166
84	0.2299043314
85	0.22949099
86	0.2288761304
87	0.2283911639
88	0.2281753494
89	0.2276336203
90	0.2262416011
91	0.2253586954
92	0.2250085973
93	0.2246241468
94	0.2239626854
95	0.2237154001
96	0.2231341437
97	0.2228398082
98	0.2218138777
99	0.221064748
100	0.2205857593
101	0.2201303064
102	0.2195495196
103	0.2181555592
104	0.2178534411
105	0.2170294224
106	0.2166130656
107	0.2157406064
108	0.2150130884
109	0.2148078066
110	0.2139244774
111	0.2133918611
112	0.2129422872
113	0.2122258868
114	0.2116124679
115	0.2114880826
116	0.2111606381
117	0.2109595485
118	0.2099496428
119	0.2095461363
120	0.2090801858
